eventnum,well,X531.40..488.,X572.27..488.,X692.40..488.,Trigger.Pulse.Width,SSC,FSC,estimated_diameter
229885,E21,101.772254322109,18.616475406319,21.6100495019413,19414,2.0319937287998,1.84083409041894,0.23
231821,E22,228.179364993711,31.6361120788491,78.8145581781003,23462,2.84073142624749,7.97168800453597,0.4
234614,E23,330.262955674298,44.5767997757343,52.0365617944606,25935,6.8828539579616,10.998179431831,0.46
284962,F02,180.725336882046,24.9023443567039,32.0072987462055,22651,5.58246709508353,8.86279697474004,0.42
282316,F03,216.1308676235,26.2241349954964,47.3204458779987,23333,9.93975061613831,3.68577075953938,0.3
279104,F04,453.031009138028,54.8756759446704,117.277275226025,27673,13.286576302196,13.6403859955377,0.5
276459,F05,157.804766584232,22.8019081226241,56.1314864236597,23236,4.46897082590003,4.81929374794784,0.33
274870,F06,23.6604738213641,3.59319640942234,10.3285197889264,13327,3.442914752042,1.02605214730483,0.18
273045,F07,101.886742144355,21.1473692097358,123.623789124806,20654,4.16045304583414,6.38970719110154,0.37
270076,F08,33.6257796939522,6.93723686715628,19.7789673375234,14805,10.6738307594542,10.2778400694522,0.44
268112,F09,25.3935910418626,2.9957216967627,3.81757088106742,14121,2.31148777861726,1.45697516301968,0.21
265657,F10,46.7519580629847,6.41490074935791,29.2869944350299,15762,7.47159092501961,1.02619635741244,0.18
262783,F11,24.8359379654636,3.27305733693514,12.8567399424768,16664,1.02836194284467,6.41760594389343,0.37
260525,F13,111.491359437999,24.2325665470285,83.7360745201458,20358,3.70550715553705,9.39243764033157,0.43
258595,F14,298.689342289044,63.200456444653,290.614896000191,26492,43.6285227169112,137.385042722126,1.22
256799,F15,124.583057302512,17.1688501825008,74.2970687250931,20600,5.30854601158504,1.89570604995838,0.23
253819,F16,153.25858259533,25.497296873549,172.607851529949,21780,70.8602747695218,350.93529628834,1.76
251774,F17,150.251510823399,20.5641305154074,56.2894812196867,22743,6.92652070423053,2.02742968392783,0.24
249189,F18,18.973052438204,1.51971690786831,22.6009126378537,13438,3.89233275479959,1.31953940296065,0.2
247373,F19,193.201610445941,25.9601167109636,69.7830584859866,23334,6.1284904775165,3.23055652100673,0.28
244370,F20,14.8592561841478,4.31104463624861,2.93405507510224,12651,5.51307680636586,1.02634058778857,0.18
241513,F21,12.8152490545013,1.14363799173431,4.13713048500512,11458,7.25532277788684,1.02619635741244,0.18
238948,F22,36.9406797609279,4.17568316919386,4.24550823385223,15805,7.41614517312705,1.72438128517808,0.22
236675,F23,376.958851262973,87.5509256654953,357.858170638539,26076,37.112400220218,220.828527106512,1.47
288025,G02,21.7563205643188,6.96263193161163,8.4801934935862,12978,4.95249697280717,1.02634058778857,0.18
290411,G03,14.4717969671726,3.42650266727157,13.6001883151517,12420,2.32811481523245,1.02662910935778,0.18
293057,G04,15.2678138223908,3.10328233354621,9.42019859463327,11290,67.4780614858727,3.13528377835679,0.28
295103,G05,195.853416719921,32.4466178358986,65.3042440114539,23512,8.14266563468048,7.79443550744275,0.4
297551,G06,179.661725503065,25.060331778661,69.1193442705692,23464,6.02346222937281,2.19806745279573,0.24
299975,G07,59.0942751761173,10.7008664831435,17.4314296619759,16608,8.73297283784571,2.55834426043252,0.26
303705,G08,77.6273299321802,12.3936915562682,24.9373663769937,20338,12.1573485256748,1.80116790313226,0.23
305713,G09,135.658274590482,23.4683954948548,48.8750161671732,21130,3.67490893825247,2.46654954666529,0.25
307419,G10,121.079006196396,19.0104194447629,77.159630052256,21108,3.14897306089334,3.39152878811048,0.29
309417,G11,51.180726381653,5.84253822554346,14.4149611603203,16898,5.61788382420267,1.46539461018728,0.21
311739,G13,141.53990711001,23.4749928548106,70.9699041609317,21588,21.055436917392,3.25013840464121,0.28
314253,G14,236.970794280167,36.7232751179549,69.7438406454653,24038,8.84910633995593,6.95480817996177,0.38
316617,G15,23.9650112234102,5.1029898796445,20.2572081124286,13026,9.37134136122395,1.07990668712006,0.18
318516,G16,26.3016449073094,6.15697904909573,28.5353563753468,13773,2.0805409565566,1.02619635741244,0.18
320820,G17,155.799449198897,26.8544407969675,108.142544026899,22925,28.3156390245045,2.9004366143293,0.27
324036,G18,16.8130681232998,6.14919633090005,5.79429347884219,11421,6.78393899106515,1.02634058778857,0.18
326029,G19,118.903684520405,22.8019081226241,40.8857779466089,21670,17.1881641328594,3.91922939354044,0.3
328121,G20,51.1016659411539,7.81417801689805,12.8152490545013,16594,5.36328841783592,1.31657559605509,0.2
330481,G21,86.2805859718189,13.286576302196,48.0779344254437,18698,3.18055156789506,2.49759474904338,0.26
332447,G22,83.1497293312516,11.622715764491,29.3487988724012,19192,10.190106217486,1.39662742678441,0.2
334488,G23,122.775391630813,19.87929044122,85.5560994377573,21297,16.4901315823438,3.58462194639016,0.29
356420,H01,94.9729870920391,15.405759204907,78.505025850089,19869,8.78590738852817,12.3606416426293,0.48
